Source: ACS 5-Year Estimates Public Use Microdata Sample 2020
Weight used: null
"Universe: default universe (usually US)"
"","Year of entry recode (YOEP_RC1)","","","","","","","","","","","",""
"Korea","70","401","2195","9852","11694","9573","10232","4407","1077","894","697","470","91"
"Kazakhstan","5","9","8","22","52","438","638","264","57","51","61","39","1"
"Kyrgyzstan (2017 or later)","1","0","2","7","6","98","122","103","22","21","14","11","2"
"Kuwait","0","4","21","80","223","285","311","303","87","31","29","29","8"
"Laos","6","12","83","2674","2599","915","638","234","60","37","31","12","5"
"Lebanon","59","137","384","1177","1429","1075","944","587","102","90","69","46","8"
"Malaysia","3","21","85","367","784","828","689","608","152","105","68","64","12"
"Mongolia (2017 or later)","0","1","3","4","9","66","219","103","24","15","24","10","3"
"Nepal","0","2","21","68","143","501","2143","1861","418","275","159","112","16"
"Pakistan","8","36","270","1242","2422","4276","4401","2676","592","467","253","131","33"
"Philippines","419","1336","6188","14075","19907","19929","23613","10462","2143","1576","1175","700","133"
"Saudi Arabia","5","27","33","70","227","419","591","1095","287","186","127","76","11"
"Singapore","5","17","59","152","281","374","441","390","102","82","59","54","6"
"Sri Lanka","0","8","55","194","360","500","718","417","69","88","49","15","4"
"Syria","27","94","192","395","633","767","711","930","458","95","30","21","5"
"Taiwan","10","123","1096","3938","5945","3789","3033","1652","437","343","284","160","38"
"Thailand","11","48","582","2179","2183","1777","2894","1576","345","203","162","133","17"
"Turkey","37","193","531","617","616","1212","1426","1028","345","274","132","127","19"
"United Arab Emirates","1","2","0","9","59","185","335","335","87","67","50","32","5"
"Uzbekistan","5","7","20","50","144","794","912","539","113","79","50","5","5"
"Vietnam","61","129","715","13518","13971","15890","10958","5464","1293","949","593","365","96"
"Yemen","4","16","50","122","207","521","751","646","217","95","50","29","4"
"Asia","27","92","201","262","337","431","459","250","61","47","30","17","7"
"South Central Asia, Not Specified","1","0","4","6","31","128","162","143","30","17","16","8","0"
"Other Asia, Not Specified","9","33","70","116","122","224","253","251","88","51","56","25","3"
"Bermuda","28","173","171","111","98","94","79","54","7","9","10","2","0"
"Canada","2394","5347","6650","4648","5286","9038","7634","4811","1611","1281","900","731","158"
"Mexico","2269","7614","22286","53940","79538","117296","93655","26678","6395","4229","3177","2158","517"
"Belize","8","52","219","395","423","380","340","145","36","23","21","9","8"
"Costa Rica","25","109","428","451","550","921","835","426","94","81","87","42","4"
"El Salvador","86","260","1169","5239","11706","11106","11538","5319","1533","863","579","449","78"
"Guatemala","39","181","901","2456","5814","7221","10905","4230","1157","837","776","494","94"
"Honduras","33","139","565","1070","2603","4887","6315","3932","1004","634","619","614","29"
"Nicaragua","61","191","405","1327","3519","1818","1522","697","157","101","128","70","8"
"Panama","295","617","889","1192","1320","1120","674","264","78","46","28","30","3"
"Antigua and Barbuda","2","17","85","162","236","139","104","56","10","9","7","4","1"
"Bahamas","6","46","90","204","226","289","225","193","69","31","30","23","2"
"Barbados","16","66","337","572","547","355","240","93","22","18","32","9","2"
"Cuba","356","2665","9882","6234","3407","8621","10709","7513","1805","570","297","185","24"
"Dominica","3","10","70","128","230","234","263","151","36","21","11","9","2"
"Dominican Republic","102","304","2163","3202","6479","8599","9717","6071","1382","902","656","282","63"
"Grenada","10","14","121","327","384","313","193","94","17","10","11","1","0"
"Haiti","45","147","1270","2748","4359","5019","5753","2595","670","405","229","95","23"
"Jamaica","108","314","2181","4298","6345","5547","5517","2808","715","462","315","204","39"
"St. Kitts-Nevis (2017 or later)","1","5","47","71","103","76","59","36","4","8","4","0","0"
"St. Lucia","0","4","37","95","177","238","214","85","19","20","5","4","0"
"St. Vincent and the Grenadines","2","13","61","186","254","198","152","52","15","7","1","1","0"
"Trinidad and Tobago","63","134","1056","1510","2329","2412","1487","508","88","100","52","32","5"
"West Indies","18","29","124","174","211","133","109","62","13","7","1","1","2"
"Caribbean, Not Specified","22","72","187","223","235","200","162","147","32","19","15","14","1"
"Argentina","48","327","963","900","1212","1878","2080","825","156","116","107","69","16"
"Bolivia","13","57","188","336","589","836","736","283","92","54","43","21","13"
"Brazil","78","256","662","746","2061","4394","4936","3440","1325","1065","847","495","70"
"Chile","53","134","410","671","801","942","755","451","126","125","80","53","10"
"Colombia","80","446","2290","3105","4878","7828","7072","3570","942","688","524","328","59"
"Ecuador","51","234","1331","1538","2369","4151","3970","1732","408","244","162","105","26"
"Guyana","29","74","604","1559","3407","2717","2432","838","199","164","79","55","11"
"Paraguay","2","22","75","65","151","257","197","67","24","26","10","24","2"
"Peru","57","274","950","1522","3347","4615","4968","1577","356","262","144","132","17"
"Uruguay","10","29","164","270","301","386","616","140","34","34","17","12","2"
"Venezuela","44","191","407","631","1044","2510","3433","3218","1515","1096","714","295","26"
"South America","8","25","58","79","71","95","82","15","7","3","6","1","0"
"Americas, Not Specified","12","26","49","85","143","163","152","46","22","17","7","1","0"
"Algeria","10","33","32","56","108","209","251","220","63","33","29","35","3"
"Cameroon","4","0","8","39","126","320","863","559","158","124","84","56","10"
"Cabo Verde","6","26","61","203","313","280","402","265","62","32","12","5","0"
"Congo","5","4","8","15","32","85","231","290","137","54","40","42","2"
"Egypt","56","189","681","858","990","1536","2102","1756","333","285","175","122","22"
"Ethiopia","6","29","91","352","769","1644","3423","1929","422","252","172","78","27"
"Eritrea","2","10","35","65","272","267","411","316","81","43","22","26","5"
"Gambia","0","0","3","20","48","129","163","107","24","13","8","5","6"
"Ghana","4","20","98","377","576","1286","2005","1259","234","205","151","98","12"
"Guinea","1","0","4","11","44","113","214","122","23","13","14","7","2"
"Ivory Coast (2017 or later)","0","0","4","19","54","139","246","151","33","39","14","3","2"
"Kenya","2","8","86","253","371","971","1973","876","253","169","119","80","16"
"Liberia","7","18","51","187","380","619","872","493","90","66","41","12","8"
"Libya","0","93","132","77","55","93","125","131","34","14","4","7","0"
"Morocco","27","199","245","211","346","721","1155","536","154","89","58","26","4"
"Nigeria","3","36","199","758","1422","2360","3732","2553","824","659","371","213","18"
"Rwanda (2017 or later)","0","1","0","3","11","49","99","98","68","48","26","13","10"
"Senegal","1","1","11","42","102","280","243","159","31","38","15","11","2"
"Sierra Leone","1","8","35","120","248","401","392","212","43","47","24","11","1"
"Somalia","2","5","8","38","100","652","854","506","174","48","26","10","3"
"South Africa","24","66","182","568","829","1518","1141","673","212","161","88","100","13"
"Sudan","0","9","26","35","140","387","518","368","92","44","34","25","7"
"Tanzania","2","9","46","143","128","207","336","162","75","21","26","17","17"
"Togo","0","0","4","9","33","147","444","194","48","52","26","12","2"
"Tunisia (2017 or later)","4","22","26","31","34","88","70","67","13","16","10","7","1"
"Uganda","0","4","20","150","142","183","350","286","107","45","39","22","4"
"Democratic Republic of Congo (Zaire)","3","11","27","46","77","162","354","555","195","107","91","72","5"
"Zambia","0","4","11","69","85","130","171","60","23","21","27","7","0"
"Zimbabwe","4","14","37","82","118","254","304","158","43","25","16","16","3"
"Africa","22","72","147","198","375","630","966","609","169","111","53","28","3"
"South Sudan (2017 or later)","0","0","1","1","4","58","104","30","4","16","8","5","0"
"Northern Africa, Not Specified","3","5","5","10","12","30","18","21","1","0","0","0","0"
"Western Africa, Not Specified","2","8","21","34","86","315","493","355","87","55","25","20","5"
"Other Africa, Not Specified","3","10","21","82","88","171","215","206","67","53","14","17","4"
"Eastern Africa, Not Specified","1","11","35","71","149","206","324","266","64","48","24","11","3"
"Australia","158","170","317","449","552","918","1232","1287","294","250","191","138","27"
"Fiji","3","21","79","266","424","493","424","173","52","36","32","8","1"
"Marshall Islands","2","6","13","28","65","165","276","210","56","25","29","16","8"
"Micronesia","0","2","14","40","95","206","456","223","83","40","71","31","8"
"New Zealand","42","39","124","229","239","359","378","270","68","53","36","37","11"
"Tonga","3","7","28","163","164","121","119","60","14","11","12","12","1"
"Samoa","5","17","35","119","113","102","94","43","10","6","9","8","0"
"Other US Island Areas, Oceania, Not Specified, or at Sea","11","24","46","100","61","122","127","100","23","17","26","8","3"
